plan_id,strategy,scenario_id,feasible,hard_violations,reference_breaches,total_expense_mln,discounted_expense_mln,cost_per_served_t_mln,pv_per_served_t_mln,served_total_t,demand_total_t,shortage_total_t,shortage_critical_t,SL_total_min,SL_critical_min,cumulative_capex_mln,capex_through_2037_mln,capex_headroom_2037_mln,closing_inventory_t,min_reserve_margin_t,unused_flex_t,unused_emergency_t,procurement_mln,reservation_mln,holding_mln,opex_mln,capex_mln,violations
S1_new24_margin10,S1_new24_margin10,HIGH_DEMAND,False,5,4,11237.911678,9224.101972,7.788472,6.392795,1442.890411,1673.0,230.109589,0.0,0.8,1.0,540.0,540.0,1260.0,0.0,-60.10274,572.044047,480.0,9571.401029,916.660274,31.750769,60.0,540.0,RESERVE_45D@2035-01-01; RESERVE_45D@2037-01-01; RESERVE_45D@2038-01-01; RESERVE_45D@2039-01-01; RESERVE_45D@2040-01-01
S1_new24_margin10_stress_prepared,S1_new24_margin10,BASE,False,2,0,12767.263489,10396.669272,9.185082,7.479618,1390.0,1390.0,0.0,0.0,1.0,1.0,540.0,540.0,1260.0,118.931507,0.071233,462.809257,480.0,10855.221255,916.660274,277.282353,60.0,540.0,STORAGE_OVERFLOW@2039; STORAGE_OVERFLOW@2040
S1_new24_margin10_stress_prepared,S1_new24_margin10,MANDATORY_STRESS,True,0,0,13471.139039,10950.319953,8.781707,7.138409,1534.0,1534.0,0.0,0.0,1.0,1.0,540.0,540.0,1260.0,60.823973,0.071233,462.809257,480.0,11638.834716,916.660274,197.544442,60.0,540.0,
S1_new24_margin10_stress_prepared,S1_new24_margin10,LOW_DEMAND,False,4,0,12891.943124,10505.1678,11.593474,9.447093,1112.0,1112.0,0.0,0.0,1.0,1.0,540.0,540.0,1260.0,119.145205,2.536986,462.809257,480.0,10855.221255,916.660274,401.961989,60.0,540.0,STORAGE_OVERFLOW@2037; STORAGE_OVERFLOW@2038; STORAGE_OVERFLOW@2039; STORAGE_OVERFLOW@2040
S1_new24_margin10_stress_prepared,S1_new24_margin10,HIGH_DEMAND,False,5,2,12525.785102,10209.601138,7.854024,6.40171,1594.823973,1673.0,78.176027,0.0,0.876753,1.0,540.0,540.0,1260.0,0.0,-57.525616,462.809257,480.0,10855.221255,916.660274,35.803966,60.0,540.0,RESERVE_45D@2035-01-01; RESERVE_45D@2037-01-01; RESERVE_45D@2038-01-01; RESERVE_45D@2039-01-01; RESERVE_45D@2040-01-01
S1_new24_margin10_stress_reactive,S1_new24_margin10,BASE,False,2,0,13043.063375,10604.508759,9.383499,7.629143,1390.0,1390.0,0.0,0.0,1.0,1.0,540.0,540.0,1260.0,118.931507,0.071233,412.549357,456.052632,11137.465924,916.660274,270.837571,60.0,540.0,STORAGE_OVERFLOW@2039; STORAGE_OVERFLOW@2040
S1_new24_margin10_stress_reactive,S1_new24_margin10,MANDATORY_STRESS,True,0,0,13766.039671,11177.836404,8.97395,7.286725,1534.0,1534.0,0.0,0.0,1.0,1.0,540.0,540.0,1260.0,60.823973,0.071233,412.549357,456.052632,11955.454222,916.660274,175.825568,60.0,540.0,
S1_new24_margin10_stress_reactive,S1_new24_margin10,LOW_DEMAND,False,4,0,13174.187793,10718.174101,11.847291,9.638646,1112.0,1112.0,0.0,0.0,1.0,1.0,540.0,540.0,1260.0,119.145205,2.536986,412.549357,456.052632,11137.465924,916.660274,401.961989,60.0,540.0,STORAGE_OVERFLOW@2037; STORAGE_OVERFLOW@2038; STORAGE_OVERFLOW@2039; STORAGE_OVERFLOW@2040
S1_new24_margin10_stress_reactive,S1_new24_margin10,HIGH_DEMAND,False,5,3,12806.053412,10421.034419,8.02976,6.534285,1594.823973,1673.0,78.176027,0.0,0.92,1.0,540.0,540.0,1260.0,0.0,-60.10274,412.549357,456.052632,11137.465924,916.660274,33.827607,60.0,540.0,RESERVE_45D@2035-01-01; RESERVE_45D@2037-01-01; RESERVE_45D@2038-01-01; RESERVE_45D@2039-01-01; RESERVE_45D@2040-01-01
S1_new24_stress_prepared,S1_new24,BASE,False,2,0,12723.34876,10360.030388,9.153488,7.453259,1390.0,1390.0,0.0,0.0,1.0,1.0,540.0,540.0,1260.0,118.931507,0.071233,463.813777,480.0,10816.905992,916.660274,271.682887,60.0,540.0,STORAGE_OVERFLOW@2039; STORAGE_OVERFLOW@2040
S1_new24_stress_prepared,S1_new24,MANDATORY_STRESS,True,0,0,13418.792772,10907.447388,8.747583,7.110461,1534.0,1534.0,0.0,0.0,1.0,1.0,540.0,540.0,1260.0,55.294521,0.0,463.813777,480.0,11598.284396,916.660274,185.748495,60.0,540.0,
S1_new24_stress_prepared,S1_new24,LOW_DEMAND,False,4,0,12852.469966,10472.086233,11.557977,9.417344,1112.0,1112.0,0.0,0.0,1.0,1.0,540.0,540.0,1260.0,119.145205,2.536986,463.813777,480.0,10816.905992,916.660274,400.804093,60.0,540.0,STORAGE_OVERFLOW@2037; STORAGE_OVERFLOW@2038; STORAGE_OVERFLOW@2039; STORAGE_OVERFLOW@2040
S1_new24_stress_prepared,S1_new24,HIGH_DEMAND,False,5,2,12485.712929,10176.097933,7.856135,6.402903,1589.294521,1673.0,83.705479,0.0,0.874717,1.0,540.0,540.0,1260.0,0.0,-58.518082,463.813777,480.0,10816.905992,916.660274,34.047056,60.0,540.0,RESERVE_45D@2035-01-01; RESERVE_45D@2037-01-01; RESERVE_45D@2038-01-01; RESERVE_45D@2039-01-01; RESERVE_45D@2040-01-01
